AdrenalineCtrl	0x053172f8	sctrlRebootDevice
AdrenalineCtrl	0x05d8e209	sctrlGetUsbState
AdrenalineCtrl	0x586b8eb9	sctrlSendAdrenalineCmd
AdrenalineCtrl	0x5fc12767	sctrlStopUsb
AdrenalineCtrl	0x80c0ed7b	sctrlStartUsb
AdrenalineCtrl	0xa93cfe9e	sctrlPentazeminConfigure
ArkCtrl	0x65c8280f	sctrlArkIsLauncher
ArkCtrl	0x6eafc03d	sctrlArkSetConfig
ArkCtrl	0x8476e2f1	sctrlArkExitLauncher
ArkCtrl	0xb00b1e55	sctrlArkGetConfig
DcManager	0x109a36fc	SW
DcManager	0x127323a6	dcIdStorageReadLeaf
DcManager	0x1a718513	dcUnregisterPhysicalFormatCallback
DcManager	0x34f3f7fc	dcIdStorageFlush
DcManager	0x3534b9c1	dcKirkCmd
DcManager	0x39d91e83	dcLflashStartFatfmt
DcManager	0x3a3ea355	dcPatchModule
DcManager	0x48ddea84	dcQueryRealMacAddress
DcManager	0x4914b8d1	LW
DcManager	0x4a5fcc2f	dcUnlockNand
DcManager	0x504c82b4	dcWriteNandBlock
DcManager	0x549329df	dcIdStorageWriteLeaf
DcManager	0x741ffcfd	dcGetNandInfo
DcManager	0x767a728e	dcIdStorageUnformat
DcManager	0x7e9128b0	dcEraseNandBlock
DcManager	0x7eb5614a	dcReadNandBlock
DcManager	0x9c87a1c7	dcGetCancelMode
DcManager	0xa22190ce	dcGetHardwareInfo
DcManager	0xa6c4148a	dcSysconReceiveSetParam
DcManager	0xa899d713	dcLflashStartFDisk
DcManager	0xad3509e5	dcRegisterPhysicalFormatCallback
DcManager	0xd298ba53	dcPatchModuleString
DcManager	0xe5f8523d	dcIdStorageCreateAtomicLeaves
DcManager	0xea3f4de5	dcLockNand
DcManager	0xf5161120	dcSetCancelMode
DcManager	0xfe8ea2a0	dcIdStorageFormat
DcManager	0xffaac913	dcIdStorageCreateLeaf
ExceptionManagerForKernel	0x15adc862	sceKernelRegisterNmiHandler
ExceptionManagerForKernel	0x1aa6cffa	sceKernelReleaseExceptionHandler
ExceptionManagerForKernel	0x291ff031	sceKernelReleaseDefaultExceptionHandler
ExceptionManagerForKernel	0x3fb264fc	sceKernelRegisterExceptionHandler
ExceptionManagerForKernel	0x565c0b0e	sceKernelRegisterDefaultExceptionHandler
ExceptionManagerForKernel	0x5a837ad4	sceKernelRegisterPriorityExceptionHandler
ExceptionManagerForKernel	0xb15357c9	sceKernelReleaseNmiHandler
ExceptionManagerForKernel	0xdf83875e	sceKernelGetActiveDefaultExceptionHandler
GraphicsUtility	0x001fdb17	sceGuOffset
GraphicsUtility	0x03a1dd44	sceGumPopMatrix
GraphicsUtility	0x0775ab5e	sceGuContinue
GraphicsUtility	0x0775b6e5	sceGuDrawArray
GraphicsUtility	0x0bd0ecc2	sceGumRotateXYZ
GraphicsUtility	0x0c721d82	sceGuBlendFunc
GraphicsUtility	0x0de343e7	sceGuStencilFunc
GraphicsUtility	0x0eb2f17b	sceGumRotateZ
GraphicsUtility	0x16d96b60	sceGumPushMatrix
GraphicsUtility	0x17668887	sceGuGetMemory
GraphicsUtility	0x20907edd	sceGuLight
GraphicsUtility	0x20e9de73	sceGuLightMode
GraphicsUtility	0x214ae306	sceGumLoadMatrix
GraphicsUtility	0x261c8fe7	sceGuColorMaterial
GraphicsUtility	0x26fad7bc	sceGuDrawBuffer
GraphicsUtility	0x27ac541c	sceGuLogicalOp
GraphicsUtility	0x3072f5a9	sceGuStencilOp
GraphicsUtility	0x39032822	sceGuTexLevelMode
GraphicsUtility	0x39197f63	sceGuViewport
GraphicsUtility	0x3b7d96b7	sceGuClutMode
GraphicsUtility	0x3ce7c3d6	sceGuFog
GraphicsUtility	0x3d87cd5e	sceGuFrontFace
GraphicsUtility	0x3de9344b	sceGuBreak
GraphicsUtility	0x443975e5	sceGuTexFunc
GraphicsUtility	0x550cb5e4	sceGuSwapBuffers
GraphicsUtility	0x554cddd1	sceGumLookAt
GraphicsUtility	0x555a576f	sceGuSetMatrix
GraphicsUtility	0x5e1d9021	sceGuTexEnvColor
GraphicsUtility	0x6314f53b	sceGuSync
GraphicsUtility	0x671b8779	sceGuDrawSprite
GraphicsUtility	0x6bc87dc8	sceGuTexWrap
GraphicsUtility	0x6d942a6d	sceGumPerspective
